gene	Level1	Level2	Level3	Level4
SLC47A1	Hematopoietic cell	Monocyte	Macrophage	Meningeal cells
KRT20	Epithelial cell	Ecto-epithelial cell	Neurecto-epthelial cell	Merkel cells
FLI1	Epithelial cell	Ecto-epithelial cell	Neurecto-epthelial cell	Merkel cells
CD99	Epithelial cell	Ecto-epithelial cell	Neurecto-epthelial cell	Merkel cells
VIL1	Epithelial cell	Ecto-epithelial cell	Neurecto-epthelial cell	Merkel cells
PIEZO2	Epithelial cell	Ecto-epithelial cell	Neurecto-epthelial cell	Merkel cells
TRPV4	Epithelial cell	Ecto-epithelial cell	Neurecto-epthelial cell	Merkel cells
ATOH1	Epithelial cell	Ecto-epithelial cell	Neurecto-epthelial cell	Merkel cells
TTF1	Epithelial cell	Ecto-epithelial cell	Neurecto-epthelial cell	Merkel cells
POU4F3	Epithelial cell	Ecto-epithelial cell	Neurecto-epthelial cell	Merkel cells
GFI1	Epithelial cell	Ecto-epithelial cell	Neurecto-epthelial cell	Merkel cells
PDGFB	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
PDGFRB	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
ACTA2	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
TNS1	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
SFRP2	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
ECM1	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
ANGPT2	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
FGF1	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
CTGF	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
PLAU	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
GATA3	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
LEF1	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
MRC1	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
PML	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
OGT	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
NOCT	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
NCOA2	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
PER3	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
PLA2R1	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
TRIP4	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
AMOTL2	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
LATS2	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
YAP1	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
LRP5	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
MIB1	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
NOSTRIN	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
ADAMTSL4	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
EMILIN1	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
ITGA8	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
DYRK1A	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
CCR7	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
PAWR	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
TBX18	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
TEK	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
HOPX	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
NR4A2	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
RASD1	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
SNCG	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
FILIP1L	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
PDE3A	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
MAP3K20	Connective tissue cell	Mesangial cells	Mesangial cells	Mesangial cells
CALB2	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
MUC16	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
KRT5	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
KRT6A	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
DES	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
HAS2	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
ME1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
ME2	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
MSLN	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
THBD	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
WT1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
LRRN4	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
IL17RE	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
LOX	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
KCNAB1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
PKHD1L1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
SULF1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
DUSP5	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
MIR22HG	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
COBLL1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
ST3GAL1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
FBXO33	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
FZD1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
RASL11A	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
CDON	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
BCL3	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
ACKR3	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
NPR1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
PCSK6	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
DPP4	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
RND1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
GBP2	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
MEDAG	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
AR	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
LGALS7	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
ANO1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
GSTA3	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
OSR1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
TWSG1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
ADGRD1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
CRLS1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
FLNC	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
PTGS2	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
C2	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
FMO2	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
FMOD	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
FGF1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
EFEMP1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
FRAS1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
RSPO1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
RARRES2	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Mesothelial cells
GP2	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
SPIB	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
EHF	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
SOX8	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
MIER3	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
CXCL16	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
CCL20	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
TNFAIP2	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
GJB2	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
TMPRSS2	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
AHR	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
MTF1	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
RELB	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
ONECUT2	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
FOSL2	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
IRF6	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
IRF2	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
FOXP4	Epithelial cell	Endo-epithelial cell	Microfold cells	Microfold cells
ITGAM	Hematopoietic cell	Monocyte	Macrophage	Microglia
ITGAX	Hematopoietic cell	Monocyte	Macrophage	Microglia
C5AR1	Hematopoietic cell	Monocyte	Macrophage	Microglia
CX3CR1	Hematopoietic cell	Monocyte	Macrophage	Microglia
P2RY12	Hematopoietic cell	Monocyte	Macrophage	Microglia
P2RX7	Hematopoietic cell	Monocyte	Macrophage	Microglia
CD40	Hematopoietic cell	Monocyte	Macrophage	Microglia
TREM2	Hematopoietic cell	Monocyte	Macrophage	Microglia
TMEM119	Hematopoietic cell	Monocyte	Macrophage	Microglia
GPR34	Hematopoietic cell	Monocyte	Macrophage	Microglia
TFF3	Hematopoietic cell	Monocyte	Macrophage	Microglia
SALL1	Hematopoietic cell	Monocyte	Macrophage	Microglia
CSF3R	Hematopoietic cell	Monocyte	Macrophage	Microglia
TCIRG1	Hematopoietic cell	Monocyte	Macrophage	Microglia
SUSD3	Hematopoietic cell	Monocyte	Macrophage	Microglia
GPR183	Hematopoietic cell	Monocyte	Macrophage	Microglia
VAV1	Hematopoietic cell	Monocyte	Macrophage	Microglia
SLC2A5	Hematopoietic cell	Monocyte	Macrophage	Microglia
IL21R	Hematopoietic cell	Monocyte	Macrophage	Microglia
IL10RA	Hematopoietic cell	Monocyte	Macrophage	Microglia
PTAFR	Hematopoietic cell	Monocyte	Macrophage	Microglia
LAG3	Hematopoietic cell	Monocyte	Macrophage	Microglia
ENTPD1	Hematopoietic cell	Monocyte	Macrophage	Microglia
ADRB2	Hematopoietic cell	Monocyte	Macrophage	Microglia
TMEM173	Hematopoietic cell	Monocyte	Macrophage	Microglia
TBXAS1	Hematopoietic cell	Monocyte	Macrophage	Microglia
P2RY6	Hematopoietic cell	Monocyte	Macrophage	Microglia
P2RY13	Hematopoietic cell	Monocyte	Macrophage	Microglia
CEBPA	Hematopoietic cell	Monocyte	Macrophage	Microglia
CD180	Hematopoietic cell	Monocyte	Macrophage	Microglia
MYO1F	Hematopoietic cell	Monocyte	Macrophage	Microglia
LTC4S	Hematopoietic cell	Monocyte	Macrophage	Microglia
TGFBR1	Hematopoietic cell	Monocyte	Macrophage	Microglia
LPCAT2	Hematopoietic cell	Monocyte	Macrophage	Microglia
ITGB5	Hematopoietic cell	Monocyte	Macrophage	Microglia
LAIR1	Hematopoietic cell	Monocyte	Macrophage	Microglia
SPHK1	Hematopoietic cell	Monocyte	Macrophage	Microglia
COLEC12	Hematopoietic cell	Monocyte	Macrophage	Microglia
ALDH1A2	Hematopoietic cell	Monocyte	Macrophage	Microglia
AEBP1	Hematopoietic cell	Monocyte	Macrophage	Microglia
CCR5	Hematopoietic cell	Monocyte	Macrophage	Microglia
SLCO2B1	Hematopoietic cell	Monocyte	Macrophage	Microglia
PTGS1	Hematopoietic cell	Monocyte	Macrophage	Microglia
MERTK	Hematopoietic cell	Monocyte	Macrophage	Microglia
HPGDS	Hematopoietic cell	Monocyte	Macrophage	Microglia
CCL4	Hematopoietic cell	Monocyte	Macrophage	Microglia
CCL3	Hematopoietic cell	Monocyte	Macrophage	Microglia
CCRL2	Hematopoietic cell	Monocyte	Macrophage	Microglia
UCP2	Hematopoietic cell	Monocyte	Macrophage	Microglia
CLEC3B	Hematopoietic cell	Monocyte	Macrophage	Microglia
MRC2	Hematopoietic cell	Monocyte	Macrophage	Microglia
CLEC10A	Hematopoietic cell	Monocyte	Macrophage	Microglia
PF4	Hematopoietic cell	Monocyte	Macrophage	Microglia
SKI	Hematopoietic cell	Monocyte	Macrophage	Microglia
RGS1	Hematopoietic cell	Monocyte	Monocytes	Monocytes
APOBEC3A	Hematopoietic cell	Monocyte	Monocytes	Monocytes
CD7	Hematopoietic cell	Monocyte	Monocytes	Monocytes
TET2	Hematopoietic cell	Monocyte	Monocytes	Monocytes
CD40	Hematopoietic cell	Monocyte	Monocytes	Monocytes
DYSF	Hematopoietic cell	Monocyte	Monocytes	Monocytes
CMKLR1	Hematopoietic cell	Monocyte	Monocytes	Monocytes
MEFV	Hematopoietic cell	Monocyte	Monocytes	Monocytes
HCK	Hematopoietic cell	Monocyte	Monocytes	Monocytes
FCGR3B	Hematopoietic cell	Monocyte	Monocytes	Monocytes
PADI4	Hematopoietic cell	Monocyte	Monocytes	Monocytes
GHSR	Hematopoietic cell	Monocyte	Monocytes	Monocytes
ITGAX	Hematopoietic cell	Monocyte	Monocytes	Monocytes
SELE	Hematopoietic cell	Monocyte	Monocytes	Monocytes
TLR4	Hematopoietic cell	Monocyte	Monocytes	Monocytes
AR	Hematopoietic cell	Monocyte	Monocytes	Monocytes
CXCR4	Hematopoietic cell	Monocyte	Monocytes	Monocytes
CD86	Hematopoietic cell	Monocyte	Monocytes	Monocytes
CCR2	Hematopoietic cell	Monocyte	Monocytes	Monocytes
TNFRSF14	Hematopoietic cell	Monocyte	Monocytes	Monocytes
ADA2	Hematopoietic cell	Monocyte	Monocytes	Monocytes
MGMT	Hematopoietic cell	Monocyte	Monocytes	Monocytes
CD33	Hematopoietic cell	Monocyte	Monocytes	Monocytes
ITGAM	Hematopoietic cell	Monocyte	Monocytes	Monocytes
ACE	Hematopoietic cell	Monocyte	Monocytes	Monocytes
FUT4	Hematopoietic cell	Monocyte	Monocytes	Monocytes
ICAM1	Hematopoietic cell	Monocyte	Monocytes	Monocytes
SELL	Hematopoietic cell	Monocyte	Monocytes	Monocytes
CD163	Hematopoietic cell	Monocyte	Monocytes	Monocytes
FCGR1A	Hematopoietic cell	Monocyte	Monocytes	Monocytes
FCGR2B	Hematopoietic cell	Monocyte	Monocytes	Monocytes
ACP5	Hematopoietic cell	Monocyte	Monocytes	Monocytes
MRC1	Hematopoietic cell	Monocyte	Monocytes	Monocytes
TNF	Hematopoietic cell	Monocyte	Monocytes	Monocytes
PLAU	Hematopoietic cell	Monocyte	Monocytes	Monocytes
GBP1	Hematopoietic cell	Monocyte	Monocytes	Monocytes
OAS1	Hematopoietic cell	Monocyte	Monocytes	Monocytes
IRF7	Hematopoietic cell	Monocyte	Monocytes	Monocytes
PLSCR1	Hematopoietic cell	Monocyte	Monocytes	Monocytes
MX1	Hematopoietic cell	Monocyte	Monocytes	Monocytes
IL1RN	Hematopoietic cell	Monocyte	Monocytes	Monocytes
HLA-DRA	Hematopoietic cell	Monocyte	Monocytes	Monocytes
IFIT1	Hematopoietic cell	Monocyte	Monocytes	Monocytes
IDO1	Hematopoietic cell	Monocyte	Monocytes	Monocytes
IFIT3	Hematopoietic cell	Monocyte	Monocytes	Monocytes
TNFSF10	Hematopoietic cell	Monocyte	Monocytes	Monocytes
CXCL10	Hematopoietic cell	Monocyte	Monocytes	Monocytes
CLEC7A	Hematopoietic cell	Monocyte	Monocytes	Monocytes
CSF3R	Hematopoietic cell	Monocyte	Monocytes	Monocytes
MNDA	Hematopoietic cell	Monocyte	Monocytes	Monocytes
MS4A6A	Hematopoietic cell	Monocyte	Monocytes	Monocytes
CLEC12A	Hematopoietic cell	Monocyte	Monocytes	Monocytes
PRTN3	Hematopoietic cell	Monocyte	Monocytes	Monocytes
FCGR3A	Hematopoietic cell	Monocyte	Monocytes	Monocytes
ADGRE1	Hematopoietic cell	Monocyte	Monocytes	Monocytes
CX3CR1	Hematopoietic cell	Monocyte	Monocytes	Monocytes
ITGAL	Hematopoietic cell	Monocyte	Monocytes	Monocytes
SPN	Hematopoietic cell	Monocyte	Monocytes	Monocytes
FCN1	Hematopoietic cell	Monocyte	Monocytes	Monocytes
ISL1	Neural cell	Neuron	Efferent neuron	Motor neurons
MNX1	Neural cell	Neuron	Efferent neuron	Motor neurons
ISL2	Neural cell	Neuron	Efferent neuron	Motor neurons
CHAT	Neural cell	Neuron	Efferent neuron	Motor neurons
VSX2	Neural cell	Neuron	Efferent neuron	Motor neurons
EN1	Neural cell	Neuron	Efferent neuron	Motor neurons
EVX1	Neural cell	Neuron	Efferent neuron	Motor neurons
EVX2	Neural cell	Neuron	Efferent neuron	Motor neurons
FGF1	Neural cell	Neuron	Efferent neuron	Motor neurons
LHX3	Neural cell	Neuron	Efferent neuron	Motor neurons
NKX6-1	Neural cell	Neuron	Efferent neuron	Motor neurons
NGFR	Neural cell	Neuron	Efferent neuron	Motor neurons
SIM1	Neural cell	Neuron	Efferent neuron	Motor neurons
TLR2	Neural cell	Glial cell	Radial glial cell	Muller cells
IL6	Neural cell	Glial cell	Radial glial cell	Muller cells
CNR2	Neural cell	Glial cell	Radial glial cell	Muller cells
VEGFA	Neural cell	Glial cell	Radial glial cell	Muller cells
SLC38A5	Neural cell	Glial cell	Radial glial cell	Muller cells
SLC38A3	Neural cell	Glial cell	Radial glial cell	Muller cells
IL33	Neural cell	Glial cell	Radial glial cell	Muller cells
RDH10	Neural cell	Glial cell	Radial glial cell	Muller cells
SLITRK2	Neural cell	Glial cell	Radial glial cell	Muller cells
SYNPR	Neural cell	Glial cell	Radial glial cell	Muller cells
CROT	Neural cell	Glial cell	Radial glial cell	Muller cells
CRYM	Neural cell	Glial cell	Radial glial cell	Muller cells
COL9A1	Neural cell	Glial cell	Radial glial cell	Muller cells
SIX3OS1	Neural cell	Glial cell	Radial glial cell	Muller cells
DAPL1	Neural cell	Glial cell	Radial glial cell	Muller cells
AQP4	Neural cell	Glial cell	Radial glial cell	Muller cells
RLBP1	Neural cell	Glial cell	Radial glial cell	Muller cells
DKK3	Neural cell	Glial cell	Radial glial cell	Muller cells
VSX2	Neural cell	Glial cell	Radial glial cell	Muller cells
COL2A1	Neural cell	Glial cell	Radial glial cell	Muller cells
COL5A1	Neural cell	Glial cell	Radial glial cell	Muller cells
COL11A1	Neural cell	Glial cell	Radial glial cell	Muller cells
GPR37	Neural cell	Glial cell	Radial glial cell	Muller cells
KCNJ2	Neural cell	Glial cell	Radial glial cell	Muller cells
KCNJ10	Neural cell	Glial cell	Radial glial cell	Muller cells
ATG4B	Neural cell	Glial cell	Radial glial cell	Muller cells
CA2	Neural cell	Glial cell	Radial glial cell	Muller cells
ZBED4	Neural cell	Glial cell	Radial glial cell	Muller cells
KIT	Neural cell	Glial cell	Radial glial cell	Muller cells
CRB1	Neural cell	Glial cell	Radial glial cell	Muller cells
SLC6A1	Neural cell	Glial cell	Radial glial cell	Muller cells
SFTPA1	Neural cell	Glial cell	Radial glial cell	Muller cells
ITGAM	Hematopoietic cell	Myeloid cell	Myeloid-derived suppressor cells	Myeloid-derived suppressor cells
FUT4	Hematopoietic cell	Myeloid cell	Myeloid-derived suppressor cells	Myeloid-derived suppressor cells
CD33	Hematopoietic cell	Myeloid cell	Myeloid-derived suppressor cells	Myeloid-derived suppressor cells
CEACAM8	Hematopoietic cell	Myeloid cell	Myeloid-derived suppressor cells	Myeloid-derived suppressor cells
IL4R	Hematopoietic cell	Myeloid cell	Myeloid-derived suppressor cells	Myeloid-derived suppressor cells
CCR2	Hematopoietic cell	Myeloid cell	Myeloid-derived suppressor cells	Myeloid-derived suppressor cells
CD1D	Hematopoietic cell	Myeloid cell	Myeloid-derived suppressor cells	Myeloid-derived suppressor cells
FCGR3A	Hematopoietic cell	Myeloid cell	Myeloid-derived suppressor cells	Myeloid-derived suppressor cells
ICAM1	Hematopoietic cell	Myeloid cell	Myeloid-derived suppressor cells	Myeloid-derived suppressor cells
CD80	Hematopoietic cell	Myeloid cell	Myeloid-derived suppressor cells	Myeloid-derived suppressor cells
CXCR1	Hematopoietic cell	Myeloid cell	Myeloid-derived suppressor cells	Myeloid-derived suppressor cells
ADGRE1	Hematopoietic cell	Myeloid cell	Myeloid-derived suppressor cells	Myeloid-derived suppressor cells
MYOG	Precursor cell	Myoblasts	Myoblasts	Myoblasts
LIF	Precursor cell	Myoblasts	Myoblasts	Myoblasts
NGF	Precursor cell	Myoblasts	Myoblasts	Myoblasts
IGF2	Precursor cell	Myoblasts	Myoblasts	Myoblasts
ANGPT2	Precursor cell	Myoblasts	Myoblasts	Myoblasts
ACHE	Precursor cell	Myoblasts	Myoblasts	Myoblasts
ADAM12	Precursor cell	Myoblasts	Myoblasts	Myoblasts
ENO3	Precursor cell	Myoblasts	Myoblasts	Myoblasts
DES	Precursor cell	Myoblasts	Myoblasts	Myoblasts
CDH15	Precursor cell	Myoblasts	Myoblasts	Myoblasts
CAPN1	Precursor cell	Myoblasts	Myoblasts	Myoblasts
MYF6	Precursor cell	Myoblasts	Myoblasts	Myoblasts
MYF5	Precursor cell	Myoblasts	Myoblasts	Myoblasts
MYOD1	Precursor cell	Myoblasts	Myoblasts	Myoblasts
PAX3	Precursor cell	Myoblasts	Myoblasts	Myoblasts
PAX7	Precursor cell	Myoblasts	Myoblasts	Myoblasts
TBX3	Precursor cell	Myoblasts	Myoblasts	Myoblasts
TTN	Precursor cell	Myoblasts	Myoblasts	Myoblasts
MUSK	Precursor cell	Myoblasts	Myoblasts	Myoblasts
FLNC	Precursor cell	Myoblasts	Myoblasts	Myoblasts
FGFR4	Precursor cell	Myoblasts	Myoblasts	Myoblasts
STK40	Precursor cell	Myoblasts	Myoblasts	Myoblasts
CXCL1	Precursor cell	Myoblasts	Myoblasts	Myoblasts
ARL4D	Precursor cell	Myoblasts	Myoblasts	Myoblasts
CCL2	Precursor cell	Myoblasts	Myoblasts	Myoblasts
MYD88	Precursor cell	Myoblasts	Myoblasts	Myoblasts
BRAF	Precursor cell	Myoblasts	Myoblasts	Myoblasts
EGFR	Precursor cell	Myoblasts	Myoblasts	Myoblasts
ZBTB16	Precursor cell	Myoblasts	Myoblasts	Myoblasts
SIX1	Precursor cell	Myoblasts	Myoblasts	Myoblasts
PDZRN3	Precursor cell	Myoblasts	Myoblasts	Myoblasts
ACTC1	Muscle cell	Myocytes	Myocytes	Myocytes
FHL2	Muscle cell	Myocytes	Myocytes	Myocytes
ACTA1	Muscle cell	Myocytes	Myocytes	Myocytes
TNNI1	Muscle cell	Myocytes	Myocytes	Myocytes
TNNI2	Muscle cell	Myocytes	Myocytes	Myocytes
TNNT1	Muscle cell	Myocytes	Myocytes	Myocytes
TNNT3	Muscle cell	Myocytes	Myocytes	Myocytes
TNNC1	Muscle cell	Myocytes	Myocytes	Myocytes
TNNC2	Muscle cell	Myocytes	Myocytes	Myocytes
ACTN2	Muscle cell	Myocytes	Myocytes	Myocytes
ACTN3	Muscle cell	Myocytes	Myocytes	Myocytes
ANKRD1	Muscle cell	Myocytes	Myocytes	Myocytes
ANKRD2	Muscle cell	Myocytes	Myocytes	Myocytes
CAPZA3	Muscle cell	Myocytes	Myocytes	Myocytes
CLOCK	Muscle cell	Myocytes	Myocytes	Myocytes
DES	Muscle cell	Myocytes	Myocytes	Myocytes
DMD	Muscle cell	Myocytes	Myocytes	Myocytes
IL4	Muscle cell	Myocytes	Myocytes	Myocytes
ITGA7	Muscle cell	Myocytes	Myocytes	Myocytes
LAMA2	Muscle cell	Myocytes	Myocytes	Myocytes
LDB1	Muscle cell	Myocytes	Myocytes	Myocytes
LDB3	Muscle cell	Myocytes	Myocytes	Myocytes
MSTN	Muscle cell	Myocytes	Myocytes	Myocytes
MYH1	Muscle cell	Myocytes	Myocytes	Myocytes
MYH4	Muscle cell	Myocytes	Myocytes	Myocytes
MYH7	Muscle cell	Myocytes	Myocytes	Myocytes
MYH8	Muscle cell	Myocytes	Myocytes	Myocytes
NBR1	Muscle cell	Myocytes	Myocytes	Myocytes
NEB	Muscle cell	Myocytes	Myocytes	Myocytes
NID2	Muscle cell	Myocytes	Myocytes	Myocytes
TMOD4	Muscle cell	Myocytes	Myocytes	Myocytes
TTN	Muscle cell	Myocytes	Myocytes	Myocytes
MYF5	Muscle cell	Myocytes	Myocytes	Myocytes
MYF6	Muscle cell	Myocytes	Myocytes	Myocytes
MYOD1	Muscle cell	Myocytes	Myocytes	Myocytes
MYOG	Muscle cell	Myocytes	Myocytes	Myocytes
SIX1	Muscle cell	Myocytes	Myocytes	Myocytes
SIX4	Muscle cell	Myocytes	Myocytes	Myocytes
PAX3	Muscle cell	Myocytes	Myocytes	Myocytes
PAX7	Muscle cell	Myocytes	Myocytes	Myocytes
ADAM12	Muscle cell	Myocytes	Myocytes	Myocytes
ARHGAP26	Muscle cell	Myocytes	Myocytes	Myocytes
CAV3	Muscle cell	Myocytes	Myocytes	Myocytes
CDH15	Muscle cell	Myocytes	Myocytes	Myocytes
CMKLR1	Muscle cell	Myocytes	Myocytes	Myocytes
CXCR4	Muscle cell	Myocytes	Myocytes	Myocytes
DLL1	Muscle cell	Myocytes	Myocytes	Myocytes
DOCK1	Muscle cell	Myocytes	Myocytes	Myocytes
DOCK5	Muscle cell	Myocytes	Myocytes	Myocytes
FLNC	Muscle cell	Myocytes	Myocytes	Myocytes
ITGA3	Muscle cell	Myocytes	Myocytes	Myocytes
MMP2	Muscle cell	Myocytes	Myocytes	Myocytes
MMP9	Muscle cell	Myocytes	Myocytes	Myocytes
MRC1	Muscle cell	Myocytes	Myocytes	Myocytes
MYH14	Muscle cell	Myocytes	Myocytes	Myocytes
NOTCH3	Muscle cell	Myocytes	Myocytes	Myocytes
NPHS1	Muscle cell	Myocytes	Myocytes	Myocytes
PLD1	Muscle cell	Myocytes	Myocytes	Myocytes
PRKCQ	Muscle cell	Myocytes	Myocytes	Myocytes
PTGIR	Muscle cell	Myocytes	Myocytes	Myocytes
PTK2	Muscle cell	Myocytes	Myocytes	Myocytes
PXN	Muscle cell	Myocytes	Myocytes	Myocytes
SULF1	Muscle cell	Myocytes	Myocytes	Myocytes
TRIO	Muscle cell	Myocytes	Myocytes	Myocytes
WASHC1	Muscle cell	Myocytes	Myocytes	Myocytes
WIPF1	Muscle cell	Myocytes	Myocytes	Myocytes
NPPA	Muscle cell	Myocytes	Myocytes	Myocytes
NPPB	Muscle cell	Myocytes	Myocytes	Myocytes
EDN1	Muscle cell	Myocytes	Myocytes	Myocytes
GATA4	Muscle cell	Myocytes	Myocytes	Myocytes
GATA5	Muscle cell	Myocytes	Myocytes	Myocytes
MEF2B	Muscle cell	Myocytes	Myocytes	Myocytes
